estado,nombre,numero,presidente,direccion
Michoacán,Lic. Bernardo Santamaría Chamu ,4,False,Casa Mata número 1051 Colonia Chapultepec Sur Morelia Michoacán 58260 
Estado de México,Lic. Gustavo Mauricio Gámez Imaz ,1,True,Circuito Novelistas número 10 Ciudad Sátelite Naucalpan de Juárez Estado de México 53100 
Estado de México,Lic. Diego Miguel Perezcano Beltrán ,2,False,"Amargura 50, Oficina 7 Col. Parques De la Herradura Huixquilucan Estado de México 52786 work"
Estado de México,Dr. Rodolfo Santos González Salcedo ,3,False,Con licencia de separación
Estado de México,Lic. Jorge Nava Hernández ,4,False,"Avenida de las Fuentes número 184, interior 615 Colonia Lomas de Tecamachalco Naucalpan de Juárez Estado de México 53950 work"
Estado de México,Lic. Luis Arredondo Cepeda y Torres ,11,False,Con licencia de separación
Estado de México,Lic. Luis Arredondo Cepeda Fonseca ,12,False,Calle Narciso Mendoza número 56 Colonia Manuel Avila Camacho Naucalpan Estado de México 53910 
Estado de México,Lic. Pedro Enrique Franco Luna ,13,False,"Lago Chapultepec esquina Lago Baykal número 132, interior 1, Manzana 70, Lote 25 Colonia Jardines de Morelos Ecatepec México 55070 "
Estado de México,Lic. Luis Gerardo Bernal Baledón ,14,False,Paseo Fidel Velázquez número 1104 Colonia San Sebastián Toluca México 50090 
Estado de México,Lic. Benjamím Arreguín Meneses ,15,False,Calle Colina de la Paz número 50 Colonia Fraccionamiento Boulevares Segunda Sección Naucalpan de Juárez México 53140 
Estado de México,Lic. René Gurmilan Sánchez ,16,False,Calle Viveros de Coyoacán número 210 Colonia Viveros de la Loma Tlanepantla de Baez México 54080 
Estado de México,Lic. Federico Jesús Escárcega Anderson ,17,False,"Avenida José López Portillo número 206, Piso 4, Torre Griscell Colonia Zacuautitla Coacalco México 55700 "
Jaliso,Lic. Maria Teresa de la Concha Autrique ,50,True,Calle Calderón de la Barca No. 291 (esquina Montenegro) Colonia Arcos Vallarta Guadalajara Jalisco 44150 
Jaliso,Lic. Karen Bibiana Camarena Gutiérrez ,74,True,Calle Hidalgo No. 86 Colonia Centro Arandas Jalisco 47180 
Jaliso,Lic. Antonio Rodríguez Laura Gutiérrez ,2,False,Avenida Unión número 164 Colonia Americana Guadalajara Jalisco 44100 work
Jaliso,Lic. Cesar Eduardo Uribe Vera ,3,False,Con licencia de separación
Jaliso,Lic. Rafael Castellanos ,4,False,Con licencia de separación
Jaliso,Lic. Ricardo Salvador Rodríguez Vera ,6,False,"Calle Tepeyac No. 4253 (entre Prados de Laureles y de los Olivos, a media cuadra del Club de Leones) Colonia Prados de Tepeyac Zapopan Jalisco 44050 "
Jaliso,Lic. Fernando Hernández Gómez ,9,False,Juan Ruiz de Alarcón No. 320 Colonia Arcos Sur Guadalajara Jalisco 44100 
Jaliso,Dra. Elsa Patricia Cortés Chávez ,10,False,Avenida Moctezuma No. 4673 Colonia Jardines del Sol Zapopan Jalisco 45050 
